latitude,longitude,feet,meters,kmh,kts,mph,fpm,ms,heading,squawk,timestamp,ems
43.802162,39.909748,20150,6142,651.9,352,405.1,1600,8.1,73,6153,1694471158,None
44.098892,43.043156,34175,10417,944.5,510,586.9,384,2,0,0,1694472120,None
44.092758,43.650917,35000,10668,996.4,538,619.1,64,0.3,90,0,1694472278,None
44.091301,43.765083,35000,10668,1000.1,540,621.4,64,0.3,91,0,1694472310,None
44.089718,43.883778,35000,10668,994.5,537,618,-64,-0.3,91,6153,1694472345,None
44.088043,43.992268,34975,10660,996.4,538,619.1,-64,-0.3,91,6153,1694472376,None
44.086395,44.099953,34975,10660,996.4,538,619.1,0,0,91,6153,1694472407,None
44.084747,44.208473,34975,10660,1000.1,540,621.4,0,0,91,6153,1694472439,None
44.082733,44.317604,34975,10660,1003.8,542,623.7,-64,-0.3,91,6153,1694472470,None
44.080734,44.42799,34975,10660,1007.5,544,626,0,0,91,6153,1694472502,None
44.078796,44.536976,35000,10668,1011.2,546,628.3,0,0,91,6153,1694472533,None
44.076691,44.646137,35000,10668,1014.9,548,630.6,0,0,91,6153,1694472564,None
44.074219,44.764561,35025,10676,1020.5,551,634.1,0,0,91,6153,1694472598,None
44.071888,44.872871,35000,10668,1024.2,553,636.4,64,0.3,91,6153,1694472629,None
44.069366,44.990036,35025,10676,1026,554,637.5,0,0,91,6153,1694472662,None
44.066391,45.109287,35050,10683,1024.2,553,636.4,64,0.3,92,6153,1694472695,None
44.063873,45.215767,35025,10676,1026,554,637.5,-64,-0.3,91,6153,1694472726,None
44.060669,45.337254,35000,10668,1027.9,555,638.7,-64,-0.3,92,6153,1694472759,None
44.057549,45.457699,35000,10668,1031.6,557,641,0,0,92,6153,1694472793,None
44.054569,45.565926,35000,10668,1033.4,558,642.1,64,0.3,92,6153,1694472824,None
44.051079,45.687561,35000,10668,1035.3,559,643.3,0,0,92,6153,1694472857,None
44.047943,45.794464,35000,10668,1037.1,560,644.4,0,0,92,6153,1694472888,None
44.044006,45.916977,35000,10668,1039,561,645.6,0,0,92,6153,1694472921,None
44.040527,46.026775,35000,10668,1040.8,562,646.7,0,0,92,6153,1694472952,None
44.036972,46.135517,35025,10676,1040.8,562,646.7,0,0,92,6153,1694472982,None
44.032837,46.257233,35000,10668,1040.8,562,646.7,-64,-0.3,92,6153,1694473016,None
44.0289,46.3685,35000,10668,1042.7,563,647.9,-64,-0.3,92,6153,1694473047,None
44.024963,46.478363,35000,10668,1042.7,563,647.9,-64,-0.3,92,6153,1694473077,None
44.020523,46.599403,35000,10668,1042.7,563,647.9,0,0,92,6153,1694473111,None
44.016312,46.709332,35000,10668,1042.7,563,647.9,0,0,93,6153,1694473141,None
44.011551,46.827244,35000,10668,1044.5,564,649,0,0,93,6153,1694473175,None
44.006607,46.949371,34975,10660,1046.4,565,650.2,0,0,93,6153,1694473208,None
44.002121,47.059425,34975,10660,1048.2,566,651.3,64,0.3,93,6153,1694473238,None
43.997032,47.181374,35000,10668,1051.9,568,653.6,64,0.3,93,6153,1694473272,None
43.991821,47.301445,35000,10668,1055.6,570,655.9,0,0,93,6153,1694473305,None
43.986877,47.41188,35025,10676,1055.6,570,655.9,0,0,93,6153,1694473336,None
